geneName,genebiotype,entrezid,product,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC410288,protein_coding,410288,phytanoyl-CoA dioxygenase,264.6584529,1.806037427,0.289697117,6.234226445,4.54016E-10,1.72072E-07
LOC408964,protein_coding,408964,ubiquitin carboxyl-terminal hydrolase Usp2,592.7429428,1.193806556,0.192261168,6.209296293,5.32224E-10,1.93308E-07
LOC408666,protein_coding,408666,uncharacterized LOC408666,162.2949613,1.723743476,0.279723446,6.162313179,7.16899E-10,2.49968E-07
LOC411700,protein_coding,411700,heat shock protein 83,689.0047548,1.458052293,0.240541485,6.061541903,1.34823E-09,4.52019E-07
LOC725732,protein_coding,725732,uncharacterized LOC725732,1684.767285,1.024871293,0.17547499,5.840554793,5.20273E-09,1.67971E-06
LOC113219382,rRNA,113219382,small subunit ribosomal RNA,47.83455295,2.763399626,0.477064013,5.792513271,6.93408E-09,2.08429E-06
LOC100577680,protein_coding,100577680,uncharacterized LOC100577680,197.008243,-3.714834669,0.640673126,-5.798330719,6.69783E-09,2.08429E-06
LOC725263,protein_coding,725263,tumor protein p53-inducible nuclear protein 2,455.5933976,1.257467794,0.219936136,5.717422421,1.08152E-08,3.14254E-06
LOC412843,protein_coding,412843,phosphoenolpyruvate carboxykinase,685.7147377,2.113961402,0.37516841,5.634699905,1.75363E-08,4.93111E-06
LOC113219378,rRNA,113219378,large subunit ribosomal RNA,108.9993281,1.852843531,0.330870003,5.599913915,2.14458E-08,5.84198E-06
LOC410353,protein_coding,410353,CUGBP Elav-like family member 4,44.72662004,2.296461893,0.411629509,5.578953507,2.4197E-08,6.39167E-06
LOC408561,protein_coding,408561,proteoglycan 4,568.6137668,1.109082432,0.199685858,5.554136087,2.78988E-08,7.15276E-06
LOC551920,protein_coding,551920,mucin-5AC,267.6282256,-2.390496403,0.430817675,-5.548742633,2.87731E-08,7.16616E-06
LOC724216,protein_coding,724216,juvenile hormone acid O-methyltransferase,1632.445324,2.246149256,0.40566744,5.536922693,3.07832E-08,7.45382E-06
LOC725008,protein_coding,725008,protein trapped in endoderm-1,293.7926896,1.977158254,0.357432589,5.531555639,3.17403E-08,7.47785E-06
LOC102654653,protein_coding,102654653,dihydropyrimidinase,989.4256985,-1.352008718,0.244887522,-5.520937555,3.37196E-08,7.73509E-06
LOC113219383,rRNA,113219383,large subunit ribosomal RNA,2216.373102,1.757753096,0.321399106,5.469066541,4.52412E-08,1.0112E-05
LOC410926,protein_coding,410926,PH domain leucine-rich repeat-containing protein phosphatase 2,53.63287597,1.986278083,0.373170592,5.322707971,1.02234E-07,2.22793E-05
LOC726646,protein_coding,726646,probable cytochrome P450 6a13,246.3689653,1.175483352,0.221218924,5.313665454,1.07442E-07,2.28432E-05
LOC412619,protein_coding,412619,amidophosphoribosyltransferase,931.2399556,1.47833352,0.281265517,5.256006977,1.47217E-07,3.05545E-05
LOC727546,protein_coding,727546,uncharacterized LOC727546,544.2700119,2.629274379,0.50166532,5.241092567,1.59629E-07,3.23601E-05
LOC408915,protein_coding,408915,protein couch potato,80.49254898,1.979386393,0.38124209,5.191940886,2.08113E-07,4.123E-05
LOC410059,protein_coding,410059,"probable citrate synthase 2, mitochondrial",1033.553581,0.972539767,0.190700699,5.099822769,3.39972E-07,6.58563E-05
LOC100577043,protein_coding,100577043,uncharacterized LOC100577043,24.36542957,3.279407585,0.646184196,5.075035267,3.87424E-07,7.05089E-05
LOC409162,protein_coding,409162,retinoid-inducible serine carboxypeptidase,221.6533902,2.676186802,0.527366155,5.074627514,3.88256E-07,7.05089E-05
LOC408805,protein_coding,408805,progestin and adipoQ receptor family member 3,110.063689,1.547943621,0.304895555,5.076963563,3.83514E-07,7.05089E-05
FAR1,protein_coding,551233,fatty acyl-CoA reductase 1,389.2638242,-1.775646708,0.350418936,-5.067211059,4.03687E-07,7.1815E-05
LOC410228,protein_coding,410228,cAMP-dependent protein kinase catalytic subunit PRKX,63.7877688,1.707403344,0.338154512,5.049181027,4.43708E-07,7.73561E-05
Y-y,protein_coding,408273,yellow-y,30.57118645,2.535441093,0.507303776,4.997875458,5.79654E-07,9.90754E-05
LOC410614,protein_coding,410614,tubulin alpha chain,4035.460415,2.454237605,0.492341123,4.984831637,6.20158E-07,0.00010396
LOC412467,protein_coding,412467,bifunctional purine biosynthesis protein PURH,1576.510114,1.753955055,0.352323239,4.978255362,6.416E-07,0.000105078
LOC725964,protein_coding,725964,uncharacterized LOC725964,68.02960698,-1.637115835,0.329038274,-4.975457159,6.50938E-07,0.000105078
LOC100578444,lncRNA,100578444,uncharacterized LOC100578444,24.28252348,2.287039631,0.461589934,4.954699969,7.2442E-07,0.000114814
LOC410638,protein_coding,410638,aromatic-L-amino-acid decarboxylase,184.4385688,1.447436858,0.292442049,4.949482679,7.4411E-07,0.000115829
LOC408680,protein_coding,408680,ryanodine receptor,78.55978426,-2.059346993,0.417673034,-4.930524181,8.20093E-07,0.000125417
LOC410821,protein_coding,410821,tetraspanin-9,168.168953,2.107417621,0.430306974,4.897474942,9.7076E-07,0.00014422
LOC410408,protein_coding,410408,conserved ATPase domain protein,510.3983533,1.428552803,0.291756389,4.896389104,9.76137E-07,0.00014422
LOC412197,protein_coding,412197,protein lethal(2)essential for life,462.0116709,2.664479343,0.545942648,4.880511444,1.05811E-06,0.000149327
LOC408463,protein_coding,408463,uncharacterized LOC408463,681.7997976,1.766151578,0.361933368,4.879769967,1.0621E-06,0.000149327
LOC409187,protein_coding,409187,MD-2-related lipid-recognition protein,276.511487,1.493376644,0.306014707,4.880081276,1.06042E-06,0.000149327
CPR16,protein_coding,100576341,cuticular protein 16,20.90034103,-5.919347473,1.22665395,-4.825605031,1.39579E-06,0.000193128
LOC408830,protein_coding,408830,obscurin,177.1388784,-1.897555407,0.396484067,-4.785956275,1.70175E-06,0.000231784
LOC411291,protein_coding,411291,leucine-rich repeat-containing protein 58,474.3094121,1.548591071,0.324890447,4.766502332,1.87452E-06,0.000251387
LOC102656186,protein_coding,102656186,trypsin-5,42.8802581,1.927826295,0.405735481,4.751436305,2.01977E-06,0.000266762
LOC408690,protein_coding,408690,calmodulin,73.79806978,2.376826718,0.501979117,4.734911545,2.19151E-06,0.000285125
LOC726914,protein_coding,726914,probable serine/threonine-protein kinase DDB_G0272282,101.4835684,1.713662501,0.364163232,4.705753762,2.5293E-06,0.000319509
Tspan6,protein_coding,406108,tetraspanin 6,1842.045026,0.961806727,0.204516413,4.702833922,2.56575E-06,0.000319509
LOC550935,protein_coding,550935,splicing factor 3B subunit 3,444.7505744,0.909703608,0.193202841,4.708541571,2.49495E-06,0.000319509
LOC724507,protein_coding,724507,RIB43A-like with coiled-coils protein 1,22.96028346,2.242955154,0.479369909,4.678965264,2.88326E-06,0.000353992
LOC724385,protein_coding,724385,uncharacterized LOC724385,138.3193401,-1.823918483,0.393281016,-4.637697748,3.52311E-06,0.000426542
LOC413575,protein_coding,413575,facilitated trehalose transporter Tret1,1598.111384,-1.234629993,0.267801982,-4.610234718,4.02215E-06,0.000480288
LOC102656658,lncRNA,102656658,uncharacterized LOC102656658,11.06853613,4.746525075,1.034594168,4.587813486,4.47913E-06,0.000527629
LOC552005,protein_coding,552005,uncharacterized LOC552005,125.3761878,-1.48757821,0.324732878,-4.580928846,4.62915E-06,0.000538031
LOC113219215,lncRNA,113219215,uncharacterized LOC113219215,13.95473903,2.553346123,0.559749668,4.561585773,5.07687E-06,0.000582304
LOC410976,protein_coding,410976,nose resistant to fluoxetine protein 6,66.31592731,-2.303874174,0.505608534,-4.556636247,5.19793E-06,0.000588446
LOC102653599,lncRNA,102653599,uncharacterized LOC102653599,1961.250373,-1.285756182,0.282866439,-4.545453286,5.48172E-06,0.000599327
LOC410982,protein_coding,410982,protein croquemort,369.946239,-1.470232226,0.323501937,-4.544740103,5.50031E-06,0.000599327
LOC410006,protein_coding,410006,uncharacterized LOC410006,144.3750546,-1.654100415,0.363724784,-4.547670345,5.4243E-06,0.000599327
Hsp90,protein_coding,408928,heat shock protein 90,3129.102524,1.522641986,0.33754419,4.510941172,6.45406E-06,0.000694569
LOC411330,protein_coding,411330,uncharacterized LOC411330,861.7806052,1.714449361,0.382784781,4.478885902,7.50336E-06,0.000797644
LOC551170,protein_coding,551170,dumpy,431.8281455,-1.731586737,0.390197424,-4.437719555,9.0917E-06,0.000954847
LOC413186,protein_coding,413186,mitochondrial pyruvate carrier 3,243.2382566,1.350812029,0.305760477,4.417876504,9.96753E-06,0.001034369
LOC412993,protein_coding,412993,"glutamate receptor ionotropic, kainate 2",20.49170151,1.950511274,0.442260182,4.410325311,1.03215E-05,0.001058505
LOC552707,protein_coding,552707,protein CDV3 homolog,390.2527535,0.849570214,0.192970493,4.402591305,1.06966E-05,0.001084208
LOC410278,protein_coding,410278,putative inorganic phosphate cotransporter,284.3155042,1.132342841,0.25847305,4.380893247,1.18194E-05,0.001184247
LOC552505,protein_coding,552505,monocarboxylate transporter 9,49.7927267,2.014782706,0.463227004,4.349450031,1.36479E-05,0.001336561
LOC113218518,protein_coding,113218518,chymotrypsin inhibitor-like,58.87270615,1.429869219,0.328659209,4.350613578,1.35757E-05,0.001336561
LOC411534,protein_coding,411534,circadian locomoter output cycles protein kaput,184.1143637,-1.245784457,0.286583097,-4.347026989,1.37995E-05,0.001336561
LOC726995,protein_coding,726995,endocuticle structural glycoprotein ABD-4,204.843643,-1.481838179,0.341790379,-4.335517522,1.45418E-05,0.001392973
LOC113219104,lncRNA,113219104,uncharacterized LOC113219104,9.127501153,3.66493704,0.847554286,4.32413251,1.53133E-05,0.001450937
LOC552530,protein_coding,552530,NGFI-A-binding protein homolog,34.16666536,-2.121913131,0.491521911,-4.317026534,1.58145E-05,0.001482313
LOC100576617,protein_coding,100576617,uncharacterized LOC100576617,44.4942036,1.877704238,0.435571399,4.31089884,1.62592E-05,0.001495081
LOC413936,protein_coding,413936,uncharacterized LOC413936,266.2354537,-1.707495109,0.396131063,-4.310429723,1.62938E-05,0.001495081
LOC725756,protein_coding,725756,beta-galactosidase,2769.880187,1.268791628,0.294809945,4.303761291,1.67923E-05,0.001524772
LOC552592,protein_coding,552592,facilitated trehalose transporter Tret1,625.9012274,-1.509729267,0.35155392,-4.294445831,1.7513E-05,0.001573825
LOC408570,protein_coding,408570,uncharacterized LOC408570,147.7528061,1.883335777,0.438791113,4.292101001,1.7699E-05,0.001574312
LOC100577026,protein_coding,100577026,mitochondrial amidoxime-reducing component 1,320.4096453,2.099213108,0.49010364,4.283202442,1.84222E-05,0.001605867
LOC414021,protein_coding,414021,uncharacterized LOC414021,293.5991773,-1.437370468,0.335522073,-4.283981843,1.83578E-05,0.001605867
Tg,protein_coding,411132,transglutaminase,388.8174742,1.343234745,0.314005605,4.2777413,1.88799E-05,0.001613493
LOC726204,protein_coding,726204,transcription factor cwo,526.7001924,1.151140875,0.269059171,4.278393011,1.88247E-05,0.001613493
LOC101664701,protein_coding,101664701,PI-PLC X domain-containing protein 1-like,11.62936804,-4.133313942,0.971919593,-4.252732397,2.11178E-05,0.001787221
Ac3,protein_coding,408363,adenylate cyclase 3,90.23699742,-2.022471765,0.477216479,-4.238059362,2.2546E-05,0.001889746
Eyg,protein_coding,410818,eyegone,52.05774706,1.834745314,0.435359622,4.214321264,2.5053E-05,0.002021533
LOC724421,protein_coding,724421,fibrillin-2,4092.724993,1.347233127,0.319389284,4.218153819,2.46311E-05,0.002021533
LOC409882,protein_coding,409882,TLD domain-containing protein 2,2937.697972,-0.879892714,0.208886306,-4.212304444,2.52779E-05,0.002021533
LOC102656070,protein_coding,102656070,uncharacterized LOC102656070,53.6149185,-1.678389907,0.39796341,-4.217447794,2.47083E-05,0.002021533
LOC409539,protein_coding,409539,microtubule-associated protein 2,186.2464639,-1.754950407,0.416255517,-4.216041199,2.48628E-05,0.002021533
RCC1,protein_coding,410681,regulator of chromosome condensation 1,110.3875666,1.139472374,0.271068509,4.203632425,2.62665E-05,0.002079394
LOC100577456,protein_coding,100577456,fibrillin-2,299.2798703,1.076206423,0.256128995,4.201814097,2.64785E-05,0.002079394
LOC550828,protein_coding,550828,elongation of very long chain fatty acids protein AAEL008004,82.60536093,-1.339593939,0.318987423,-4.199519614,2.67482E-05,0.002081821
LOC102655088,lncRNA,102655088,uncharacterized LOC102655088,41.63982749,1.518334642,0.36184551,4.196085349,2.71568E-05,0.002094918
LOC408557,protein_coding,408557,thioredoxin domain-containing protein 5 homolog,122.3150375,-1.132044974,0.271498266,-4.169621371,3.05106E-05,0.002332991
LOC409109,protein_coding,409109,mycosubtilin synthase subunit C,204.9580035,-2.107314003,0.507394228,-4.153208467,3.27846E-05,0.002485071
LOC100577242,protein_coding,100577242,sterile alpha and TIR motif-containing protein 1,381.6408027,1.246395449,0.300888714,4.142380186,3.4372E-05,0.002566847
LOC725387,protein_coding,725387,uncharacterized protein DDB_G0283357,15762.43575,-1.149736069,0.277590334,-4.141844754,3.44524E-05,0.002566847
LOC411888,protein_coding,411888,uncharacterized LOC411888,41.89036906,1.676543706,0.406665526,4.122660021,3.74522E-05,0.002743454
LOC413964,protein_coding,413964,serine/threonine-protein kinase grp,122.3698118,1.085888029,0.263345141,4.123440535,3.73255E-05,0.002743454
LOC725273,protein_coding,725273,uncharacterized LOC725273,721.3608286,-2.245807067,0.545308658,-4.118414468,3.81488E-05,0.002771193
LOC409865,protein_coding,409865,protein retinal degeneration B,177.7079073,-1.527420634,0.371229775,-4.114488479,3.88039E-05,0.002795484
LOC100579026,protein_coding,100579026,uncharacterized LOC100579026,23.24721097,-2.443312307,0.594509513,-4.109795137,3.9601E-05,0.002829526
LOC100576880,lncRNA,100576880,uncharacterized LOC100576880,122.0106093,1.70387418,0.415342864,4.10233166,4.09007E-05,0.002898632
LOC409962,protein_coding,409962,loricrin,72.94028212,1.930384945,0.471244694,4.096353699,4.19709E-05,0.002950483
LOC409299,protein_coding,409299,adenylosuccinate synthetase,324.665164,1.206429319,0.295675315,4.080250388,4.49872E-05,0.003137228
LOC413369,protein_coding,413369,uncharacterized LOC413369,54.68954388,-2.120170745,0.52034735,-4.074529725,4.61074E-05,0.003179807
LOC725164,protein_coding,725164,serine-rich adhesin for platelets,11.84548519,-3.795545844,0.931783093,-4.073422101,4.63274E-05,0.003179807
LOC100578774,protein_coding,100578774,centrosomal protein of 164 kDa,38.42095268,1.917014762,0.47176288,4.063513351,4.83396E-05,0.003291999
LOC552265,protein_coding,552265,rho GTPase-activating protein 32,149.4386764,0.996109511,0.246071895,4.048042594,5.16477E-05,0.003490027
LOC408444,protein_coding,408444,unconventional myosin-XV,309.0849361,-1.150668992,0.284781867,-4.040527589,5.33311E-05,0.003576055
LOC409759,protein_coding,409759,serine-rich adhesin for platelets,1219.848888,-1.79593607,0.444981701,-4.035977364,5.43755E-05,0.003618251
LOC100577783,protein_coding,100577783,"protein Skeletor, isoforms B/C",1114.155325,-1.88039128,0.467243772,-4.024433056,5.71127E-05,0.003771604
LOC100576529,protein_coding,100576529,uncharacterized LOC100576529,4.819518993,5.48731356,1.366592222,4.015326206,5.93636E-05,0.003890773
LOC725498,protein_coding,725498,protein mesh,19.92591213,2.111263508,0.5261232,4.012869055,5.99852E-05,0.003902171
LOC550918,protein_coding,550918,ATP-binding cassette sub-family G member 4,200.5675187,1.044361714,0.261120021,3.999546688,6.34639E-05,0.004097889
LOC413620,protein_coding,413620,uncharacterized LOC413620,366.3693697,-1.126787242,0.283280503,-3.977637826,6.96033E-05,0.004461263
LOC551437,protein_coding,551437,alpha-N-acetylglucosaminidase,197.8314073,1.424803316,0.358663067,3.972539824,7.11103E-05,0.00452459
LOC410620,protein_coding,410620,heat shock protein Hsp70Ab-like,1898.173836,3.29028837,0.829706656,3.965604407,7.32102E-05,0.004624444
LOC724865,protein_coding,724865,ABC transporter G family member 20,390.3865415,-1.734371628,0.437883907,-3.960802397,7.46983E-05,0.004684499
LOC410386,protein_coding,410386,tolloid-like protein 1,291.7477738,-1.100499721,0.278192064,-3.955899053,7.62474E-05,0.004701343
LOC408970,protein_coding,408970,flocculation protein FLO11,1314.526785,-1.38916603,0.351012374,-3.957598458,7.57071E-05,0.004701343
LOC552512,protein_coding,552512,kinesin 3E,76.9942141,-1.392796831,0.352174996,-3.954843037,7.65849E-05,0.004701343
LOC724439,protein_coding,724439,uncharacterized LOC724439,249.9822966,1.465381923,0.372152128,3.937588452,8.23046E-05,0.004982286
LOC726153,protein_coding,726153,uncharacterized LOC726153,16.94657124,-2.274832763,0.577626227,-3.938243548,8.20803E-05,0.004982286
LOC551448,protein_coding,551448,ribose-phosphate pyrophosphokinase 1,1987.56419,1.14034141,0.290597308,3.924129304,8.7044E-05,0.005197002
CPF1,protein_coding,726632,cuticular protein CPF1,153.4904647,-5.020180904,1.278807455,-3.925673786,8.64873E-05,0.005197002
LOC551502,protein_coding,551502,atrial natriuretic peptide-converting enzyme,208.2069701,-0.909966893,0.232010598,-3.922091929,8.77835E-05,0.005205501
LOC411023,protein_coding,411023,cadherin-23,103.1277778,2.570353245,0.656401586,3.915824245,9.00959E-05,0.005306525
LOC413427,protein_coding,413427,uncharacterized LOC413427,51.05575295,-1.975612111,0.50556092,-3.907762712,9.31547E-05,0.005449864
LOC409368,protein_coding,409368,interferon-related developmental regulator 1-like,804.9060414,0.709125666,0.181816887,3.900218943,9.61057E-05,0.005585025
LOC726669,protein_coding,726669,uncharacterized LOC726669,250.3504846,0.999768995,0.256845851,3.892486456,9.9222E-05,0.005727937
LOC408872,protein_coding,408872,COUP transcription factor 2,380.7056377,-1.006403566,0.259785529,-3.873978553,0.000107073,0.006140486
LOC724995,protein_coding,724995,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha,211.5755725,-0.901426499,0.23319368,-3.865570022,0.00011083,0.006314415
LOC100576428,protein_coding,100576428,lateral signaling target protein 2 homolog,49.79114102,-1.385644,0.358637507,-3.863633814,0.000111713,0.006323371
LOC410231,protein_coding,410231,toll-like receptor Tollo,23.97017251,-2.065586688,0.535080828,-3.860326475,0.000113236,0.006368226
LOC726883,protein_coding,726883,CD109 antigen,148.579699,-1.213004442,0.315198857,-3.8483783,0.000118902,0.006644049
LOC410071,protein_coding,410071,glycerol-3-phosphate phosphatase,394.2563336,1.00516546,0.261549603,3.843115976,0.000121482,0.006716141
LOC551992,protein_coding,551992,rRNA 2'-O-methyltransferase fibrillarin,373.2876006,0.882165349,0.229574593,3.842608792,0.000121733,0.006716141
LOC551548,protein_coding,551548,L-asparaginase,205.1128726,1.115249969,0.291072014,3.831525926,0.000127351,0.006981876
LOC724961,protein_coding,724961,protein drumstick,66.96876061,-2.288683748,0.599410761,-3.818222658,0.000134417,0.007323183
LOC724583,protein_coding,724583,uncharacterized LOC724583,125.3425597,-1.376539038,0.36075919,-3.815672821,0.000135812,0.007353269
LOC408411,protein_coding,408411,transcription factor Sox-2,67.22156123,2.246975415,0.58940786,3.812258992,0.000137702,0.007367521
LOC412215,protein_coding,412215,chitin synthase chs-2,297.6878027,-1.265393697,0.331937444,-3.812145085,0.000137766,0.007367521
LOC551687,protein_coding,551687,uncharacterized LOC551687,775.8920403,1.497865441,0.393437836,3.807120983,0.000140594,0.007427622
LOC413935,protein_coding,413935,nucleolar protein 58,175.6865884,0.959836336,0.252075107,3.807739484,0.000140243,0.007427622
LOC409598,protein_coding,409598,uncharacterized LOC409598,82.81295597,-1.995215561,0.525405555,-3.797477096,0.000146176,0.007676016
Hsc70-4,protein_coding,409418,heat shock protein cognate 4,17447.26227,0.879609341,0.232064599,3.790364174,0.000150427,0.007805169
LOC552523,protein_coding,552523,L-threonine ammonia-lyase,3656.945483,-1.361015725,0.359050137,-3.790600762,0.000150283,0.007805169
LOC409919,protein_coding,409919,excitatory amino acid transporter 1,132.0670524,-1.766086888,0.466340442,-3.787119301,0.000152404,0.007860977
LOC411071,protein_coding,411071,dnaJ protein homolog 1,645.0877505,0.855769463,0.226341485,3.780877661,0.000156276,0.008013305
LOC725688,protein_coding,725688,lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog,477.9939376,1.132846614,0.300446097,3.770548611,0.000162889,0.008303532
LOC552101,protein_coding,552101,uncharacterized LOC552101,471.5536302,1.983722348,0.527107031,3.763414702,0.000167609,0.008492843
LOC551619,protein_coding,551619,transmembrane protein 8B,83.14189275,1.244549827,0.330820187,3.762012946,0.000168551,0.008492843
LOC724466,protein_coding,724466,uncharacterized LOC724466,23.17897533,2.192628293,0.584036247,3.754267484,0.000173849,0.008709442
LOC725047,protein_coding,725047,nucleolin 1,698.7228459,0.903295747,0.240801894,3.751198681,0.000175991,0.008766371
LOC410167,protein_coding,410167,sorbitol dehydrogenase,6030.397956,1.316460183,0.351448438,3.74581316,0.00017981,0.008905722
LOC725547,protein_coding,725547,extensin,63.80804678,-4.34272349,1.161042635,-3.740365218,0.000183753,0.009049579
Pgrp-s2,protein_coding,412484,peptidoglycan recognition protein S2,762.6676112,1.740504663,0.465882618,3.735929604,0.000187023,0.009158873
LOC102655449,protein_coding,102655449,uncharacterized LOC102655449,69.00721029,1.419281662,0.380238277,3.732611229,0.000189505,0.009228574
LOC724616,protein_coding,724616,neprilysin-1,5.099791243,-5.415206146,1.452680301,-3.727734274,0.000193209,0.009356679
LOC100578621,protein_coding,100578621,uncharacterized LOC100578621,194.1127497,1.311292753,0.352802778,3.716786921,0.000201772,0.009664015
LOC413732,protein_coding,413732,Golgi apparatus protein 1,137.1464259,-0.951085093,0.255864386,-3.717145275,0.000201487,0.009664015
LOC725838,protein_coding,725838,uncharacterized LOC725838,443.6735581,-4.764919978,1.285312297,-3.707207959,0.000209557,0.009982006
LOC726289,protein_coding,726289,transcription factor AP-1,180.4040849,1.016610479,0.274902342,3.698078637,0.000217238,0.010291631
LOC726672,protein_coding,726672,uncharacterized LOC726672,409.1811621,1.639371879,0.445072647,3.683380433,0.000230161,0.01084495
LOC107964872,lncRNA,107964872,uncharacterized LOC107964872,4.90733956,3.261726347,0.886258105,3.680334578,0.000232928,0.010916314
LOC409843,protein_coding,409843,"myosin heavy chain, muscle",3602.079428,-1.649760782,0.448801624,-3.675924267,0.00023699,0.011047274
LOC410658,protein_coding,410658,LIM/homeobox protein Lhx3,11.39173758,-2.836930349,0.772091277,-3.674345809,0.00023846,0.011056661
LOC100576383,protein_coding,100576383,"mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",948.6510869,0.824482414,0.224729433,3.668778063,0.000243713,0.011240434
LOC100576182,protein_coding,100576182,pupal cuticle protein G1A,104.499429,-4.930603268,1.344578628,-3.66702487,0.000245389,0.011258186
LOC551094,protein_coding,551094,fatty-acid amide hydrolase 2-B,31.2968116,-2.183042002,0.597549807,-3.653322246,0.000258869,0.011814457
LOC100576703,protein_coding,100576703,sarcalumenin,196.135252,-1.453507415,0.398971365,-3.643137179,0.000269335,0.012228099
LOC725776,protein_coding,725776,B-cell CLL/lymphoma 6 member B protein,27.86618803,-1.800264935,0.494782621,-3.6384967,0.000274234,0.012386005
Emc,protein_coding,100216325,extra macrochaetae,617.5953817,1.215315633,0.3346381,3.631731215,0.000281526,0.012524143
LOC409534,protein_coding,409534,uncharacterized LOC409534,199.9587823,0.777228152,0.214091927,3.630347773,0.00028304,0.012524143
LOC552357,protein_coding,552357,maltase A3,200.6550178,-1.484041769,0.408615745,-3.631876131,0.000281368,0.012524143
LOC409821,protein_coding,409821,twitchin,914.1484015,-1.600279974,0.440770486,-3.630642305,0.000282717,0.012524143
Obp1,protein_coding,406102,odorant binding protein 1,11.36500685,1.975494901,0.544963332,3.625005177,0.000288956,0.012565236
LOC100576903,protein_coding,100576903,leucine-rich repeat-containing protein 15,38.84345917,1.843283331,0.508588786,3.624309822,0.000289734,0.012565236
LOC725046,protein_coding,725046,uncharacterized LOC725046,69.43510464,1.695286398,0.467495714,3.626314312,0.000287495,0.012565236
LOC412055,protein_coding,412055,exostosin-3,716.3952556,0.65712574,0.18118806,3.626760717,0.000286999,0.012565236
LOC410398,protein_coding,410398,insulin-like growth factor 2 mRNA-binding protein 1,385.4906223,0.729394104,0.201696379,3.616297467,0.000298847,0.012896281
LOC726447,protein_coding,726447,histone H2B,72.57948622,1.29666306,0.358839059,3.613494758,0.000302097,0.012972333
LOC551378,protein_coding,551378,toll-like receptor Tollo,15.93655042,-2.18013046,0.603680896,-3.611395482,0.000304554,0.013013704
LOC413805,protein_coding,413805,H/ACA ribonucleoprotein complex subunit 4,204.7435261,0.946592702,0.262346022,3.608183938,0.000308348,0.013111553
LOC725617,protein_coding,725617,sodium-coupled monocarboxylate transporter 1,31.18177527,-1.472399852,0.408375655,-3.605503498,0.000311548,0.013183332
