Unnamed: 0,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,gene_name,gene_gi,gene_beebase,gene_id,product
38,XM_001123230.5,2.97871e-11,6.67461e-09,-1.855444457,0.279114125,14.42515997,1.103841327,9.85715e-05,0.088700287,0.116758471,0.116758471,LOC727522,LOC727522,GB43689,727522,"PREDICTED: Apis mellifera uncharacterized LOC727522 (LOC727522),"
39,XM_392696.7,2.9518e-11,6.67461e-09,1.722221563,0.25902136,10.54136531,0.964287416,0.001714473,0.091377131,0.098923624,0.098923624,LOC409171,LOC409171,GB47299,409171,"PREDICTED: Apis mellifera esterase FE4 (LOC409171), transcript"
40,XM_026441384.1,3.32708e-11,7.26884e-09,7.296520213,1.10031262,6.637101874,17.4245876,0.308262215,1.507769579,0.356770404,1.507769579,LOC102655889,LOC102655889,,102655889,PREDICTED: Apis mellifera uncharacterized protein PF11_0213
41,XM_001120889.5,3.43943e-11,7.33102e-09,2.122109408,0.320250118,8.844457964,1.457737772,0.008000536,0.125416052,0.145839671,0.145839671,LOC726447,LOC726447,GB13012,726447,"PREDICTED: Apis mellifera histone H2B (LOC726447), mRNA."
42,NM_001011620.1,3.88059e-11,8.0744e-09,-7.307174242,1.105712444,16.29969487,17.48555863,0.000219155,1.833680858,0.184703939,1.833680858,LOC406147,LOC406147,,406147,"Apis mellifera short-chain dehydrogenase/reductase (LOC406147),"
43,XM_006570800.3,5.44934e-11,1.10748e-08,3.178772056,0.484708435,6.909970526,3.081345612,0.034084264,0.028375831,0.318329136,0.318329136,LOC102655073,LOC102655073,,102655073,"PREDICTED: Apis mellifera histone H4 (LOC102655073), mRNA."
44,XM_001120132.5,7.47473e-11,1.48458e-08,2.341025683,0.359559897,8.281345981,1.775586081,0.013846078,0.150486056,0.180078901,0.180078901,LOC725272,LOC725272,GB47504,725272,"PREDICTED: Apis mellifera histone H3 (LOC725272), mRNA."
45,XM_001122299.4,9.23517e-11,1.79347e-08,-2.129289785,0.328646414,9.831374968,1.489772654,0.002579967,0.159432731,0.110774453,0.159432731,LOC726571,LOC726571,GB51733,726571,PREDICTED: Apis mellifera venom acid phosphatase Acph-1
46,XM_026443413.1,9.9054e-11,1.88181e-08,-2.166886062,0.334996311,10.59487543,1.543285596,0.00139821,0.166935582,0.098345294,0.166935582,LOC552728,LOC552728,GB52642,552728,"PREDICTED: Apis mellifera uncharacterized LOC552728 (LOC552728),"
47,XM_001120471.5,2.28591e-10,4.25033e-08,2.297406747,0.362321886,15.27886415,1.740955906,8.13211e-05,0.196834402,0.140279804,0.196834402,LOC725274,LOC725274,GB55232,725274,PREDICTED: Apis mellifera 3-hydroxyacyl-CoA dehydrogenase type-2
48,NM_001110764.1,2.54107e-10,4.62633e-08,-2.33559218,0.369294653,15.65658535,1.800151499,4.06478e-05,0.204527164,0.154301178,0.204527164,Hex70a,Hex70a,,726848,"Apis mellifera hexamerin 70a (Hex70a), mRNA."
49,XM_001120425.5,2.69443e-10,4.80542e-08,-3.155117332,0.499590096,11.49475992,3.285937931,0.001083779,0.373301618,0.092478677,0.373301618,LOC724536,LOC724536,,724536,"PREDICTED: Apis mellifera uncharacterized LOC724536 (LOC724536),"
50,XM_006566055.3,4.06546e-10,7.1056e-08,-1.555979095,0.248897171,12.36360074,0.738504232,0.000406169,0.014822516,0.092518533,0.092518533,LOC552663,LOC552663,GB51087,552663,"PREDICTED: Apis mellifera pyridoxal kinase (LOC552663), mRNA."
51,XM_001120943.5,4.42896e-10,7.58915e-08,1.552693818,0.248904619,12.31981352,0.794157035,0.000544507,0.088080002,0.092385757,0.092385757,LOC725047,LOC725047,GB51050,725047,"PREDICTED: Apis mellifera nucleolin 1 (LOC725047), transcript"
52,XM_003251552.4,7.09313e-10,1.19206e-07,2.388471239,0.387487419,7.884629495,1.782133277,0.013111493,0.075257031,0.212108256,0.212108256,LOC100577168,LOC100577168,GB42378,100577168,PREDICTED: Apis mellifera uncharacterized LOC100577168
53,XM_016911300.2,7.75725e-10,1.27907e-07,2.360244028,0.383790954,7.936428447,1.778938406,0.013469365,0.121171691,0.207473879,0.207473879,LOC102656190,LOC102656190,,102656190,PREDICTED: Apis mellifera uncharacterized LOC102656190
54,XM_006571530.3,9.64736e-10,1.56126e-07,-2.232899768,0.365143005,8.139003697,1.554308446,0.00937757,0.063817473,0.190616551,0.190616551,LOC551320,LOC551320,GB54935,551320,PREDICTED: Apis mellifera schwannomin-interacting protein 1 homolog
55,XM_006561605.2,1.23726e-09,1.96589e-07,-1.770258892,0.291384376,9.36579653,0.999472898,0.003319479,0.070840439,0.124037803,0.124037803,LOC100576876,LOC100576876,,100576876,PREDICTED: Apis mellifera uncharacterized LOC100576876
56,XM_003250068.4,1.3485e-09,2.10438e-07,-1.825904983,0.301229416,12.60267276,1.109065696,0.000365743,0.135742999,0.093493746,0.135742999,LOC725816,LOC725816,,725816,PREDICTED: Apis mellifera homocysteine S-methyltransferase YbgG
57,XM_623592.5,1.8623e-09,2.85521e-07,-1.55481436,0.258731107,13.42034832,0.797862256,0.000213849,0.090571087,0.10019883,0.10019883,LOC551197,LOC551197,GB45746,551197,PREDICTED: Apis mellifera probable cytochrome P450 6a13
58,XM_397008.5,2.8196e-09,4.24836e-07,-1.483247356,0.249630543,11.46057499,0.708740197,0.000884594,0.060032133,0.092588518,0.092588518,LOC413567,LOC413567,GB55220,413567,"PREDICTED: Apis mellifera L-xylulose reductase (LOC413567), mRNA."
59,XM_006557829.3,2.95068e-09,4.37051e-07,-3.869373986,0.652033406,10.0273809,5.001793588,0.003774356,0.633946987,0.106579319,0.633946987,LOC551533,LOC551533,GB54776,551533,PREDICTED: Apis mellifera pyridoxine/pyridoxamine 5'-phosphate
60,XM_003249450.4,3.1907e-09,4.64726e-07,1.49551455,0.252557854,11.0415207,0.736322695,0.00104393,0.080648026,0.094634275,0.094634275,LOC413799,LOC413799,GB12343,413799,PREDICTED: Apis mellifera mitochondrial import inner membrane
61,XM_623093.6,3.38003e-09,4.7831e-07,-2.184976801,0.369584088,9.488845434,1.596147964,0.003632931,0.201255667,0.120055801,0.201255667,LOC409360,LOC409360,GB40773,409360,PREDICTED: Apis mellifera fatty acid hydroxylase domain-containing
62,XM_394637.7,3.39343e-09,4.7831e-07,1.939616185,0.328118056,8.689425245,1.255899793,0.007156688,0.151926448,0.154335499,0.154335499,LOC411163,LOC411163,GB41465,411163,"PREDICTED: Apis mellifera N-alpha-acetyltransferase 15, NatA"
63,XM_016915694.2,3.7265e-09,5.16918e-07,-2.754236907,0.467144617,9.589595675,2.537615193,0.004041135,0.323295006,0.117059525,0.323295006,LOC726352,LOC726352,GB40137,726352,PREDICTED: Apis mellifera transmembrane protease serine 11B-like
64,XM_623909.5,4.40135e-09,6.00991e-07,1.510667974,0.257426056,10.6783087,0.700722562,0.001893406,0.018215649,0.097508855,0.097508855,LOC410114,LOC410114,GB51504,410114,PREDICTED: Apis mellifera solute carrier family 23 member 1
65,XM_026440030.1,4.5626e-09,6.13424e-07,-3.021934784,0.515478563,7.842706043,3.058488729,0.014005505,0.384571718,0.215948381,0.384571718,LOC413590,LOC413590,GB44006,413590,"PREDICTED: Apis mellifera alkylglycerol monooxygenase (LOC413590),"
66,XM_001120657.5,4.7154e-09,6.24361e-07,-3.225751492,0.550759332,8.158016301,3.485644817,0.011745523,0.44325824,0.18914425,0.44325824,LOC724760,LOC724760,GB45875,724760,PREDICTED: Apis mellifera G-protein coupled receptor Mth2
67,XM_026440712.1,5.92728e-09,7.73111e-07,-1.623754897,0.27905338,9.717529729,0.872904393,0.003226326,0.099186678,0.113579857,0.113579857,LOC727271,LOC727271,GB47832,727271,PREDICTED: Apis mellifera fatty-acid amide hydrolase 2-A
68,XM_026440888.1,6.92954e-09,8.90548e-07,-2.085584853,0.360041515,9.245128966,1.460455125,0.004242953,0.190201886,0.128306249,0.190201886,LOC726286,LOC726286,GB45701,726286,"PREDICTED: Apis mellifera uncharacterized LOC726286 (LOC726286),"
69,XM_001121814.5,7.13173e-09,9.03249e-07,3.110412056,0.53740902,10.83828999,3.248969093,0.002991954,0.430220728,0.096103797,0.430220728,LOC726040,LOC726040,GB40077,726040,"PREDICTED: Apis mellifera 4-coumarate--CoA ligase 1 (LOC726040),"
70,XM_016915547.2,9.26931e-09,1.15721e-06,7.073147683,1.231486651,3.295543382,16.82869669,0.160279093,2.114559965,1.676946783,2.114559965,LOC551869,LOC551869,GB40614,551869,PREDICTED: Apis mellifera vitamin K-dependent gamma-carboxylase
71,NM_001327966.1,9.78464e-09,1.20434e-06,2.89334553,0.504557624,11.75172455,2.816928582,0.000958467,0.380909126,0.091923825,0.380909126,LOC551179,LOC551179,,551179,"Apis mellifera methyl farnesoate epoxidase (LOC551179), mRNA."
72,XR_003305673.1,1.19946e-08,1.44425e-06,-2.225621485,0.390473436,9.380261263,1.668980703,0.00373553,0.224968727,0.123550708,0.224968727,LOC102656859,LOC102656859,,102656859,PREDICTED: Apis mellifera uncharacterized LOC102656859
73,XR_003305900.1,1.20644e-08,1.44425e-06,-1.45557916,0.255417902,13.17987492,0.65411334,0.000198029,0.022927137,0.097659428,0.097659428,LOC113219165,LOC113219165,,113219165,PREDICTED: Apis mellifera uncharacterized LOC113219165
74,XM_397432.6,1.25574e-08,1.48296e-06,-1.447644793,0.254330563,10.8578256,0.650910382,0.00107776,0.026681926,0.095948293,0.095948293,LOC413997,LOC413997,GB53668,413997,"PREDICTED: Apis mellifera translocator protein (LOC413997), mRNA."
75,XM_623643.6,1.3334e-08,1.55368e-06,2.302292253,0.405209809,7.669372873,1.687745923,0.013695384,0.108280913,0.232597099,0.232597099,LOC551252,LOC551252,GB51305,551252,"PREDICTED: Apis mellifera tropomyosin (LOC551252), mRNA."
76,XM_026444263.1,1.59011e-08,1.80468e-06,-2.351954592,0.416161298,8.713603415,1.867335392,0.006221793,0.253563546,0.152954648,0.253563546,LOC727496,LOC727496,GB49339,727496,PREDICTED: Apis mellifera uncharacterized transporter BU466
77,XM_624895.6,1.58591e-08,1.80468e-06,2.018463706,0.357123782,10.31245388,1.375303594,0.002527026,0.188779067,0.101818945,0.188779067,LOC552519,LOC552519,GB53670,552519,PREDICTED: Apis mellifera clustered mitochondria protein homolog
78,XM_003251579.4,1.69115e-08,1.89473e-06,1.45637904,0.258179752,10.62606912,0.690143389,0.001961629,0.065327642,0.098023547,0.098023547,LOC725238,LOC725238,,725238,"PREDICTED: Apis mellifera histone H1 (LOC725238), mRNA."
79,XM_006559139.3,1.82524e-08,2.01908e-06,6.805875865,1.209331735,2.918786102,14.22695874,0.187732461,0.225986111,2.005992408,2.005992408,LOC724275,LOC724275,GB43418,724275,"PREDICTED: Apis mellifera uncharacterized LOC724275 (LOC724275),"
80,XM_006564607.1,1.94782e-08,2.12775e-06,-1.922834464,0.342350112,8.45318187,1.134473547,0.007080011,0.024527282,0.168725388,0.168725388,LOC725370,LOC725370,GB41780,725370,"PREDICTED: Apis mellifera uncharacterized LOC725370 (LOC725370),"
81,XM_006570813.3,3.63119e-08,3.91765e-06,1.409345768,0.255876684,13.20736285,0.641962491,0.000284551,0.057322752,0.097924765,0.097924765,LOC102655896,LOC102655896,,102655896,PREDICTED: Apis mellifera nucleoplasmin-like protein
82,XM_006561239.3,3.78837e-08,4.03738e-06,1.758809318,0.319757716,8.797841637,0.957099057,0.005065483,0.031279506,0.148302012,0.148302012,LOC411355,LOC411355,GB52168,411355,PREDICTED: Apis mellifera von Willebrand factor A domain-containing
83,XR_003305370.1,4.29076e-08,4.46392e-06,7.011490622,1.279831895,2.505745311,15.02296363,0.017630596,0.325698659,2.439323924,2.439323924,LOC100578131,LOC100578131,,100578131,PREDICTED: Apis mellifera uncharacterized LOC100578131
84,XM_026445349.1,4.2406e-08,4.46392e-06,-2.814717256,0.513585125,6.596583343,2.58750585,0.032722784,0.230672067,0.362931736,0.362931736,LOC113219256,LOC113219256,,113219256,PREDICTED: Apis mellifera replication protein A 32 kDa subunit-like
85,XM_006557715.3,4.6078e-08,4.73736e-06,2.870592971,0.525190111,7.726738363,2.803080786,0.024168468,0.389568511,0.226958283,0.389568511,LOC409424,LOC409424,GB54376,409424,"PREDICTED: Apis mellifera solute carrier family 2, facilitated"
86,XR_003304261.1,4.76247e-08,4.83944e-06,-1.436770256,0.263146751,13.69369084,0.660956872,0.000161631,0.051918671,0.103707688,0.103707688,LOC113218622,LOC113218622,,113218622,PREDICTED: Apis mellifera uncharacterized LOC113218622
87,NM_001136206.1,5.06635e-08,5.03123e-06,8.798970633,1.614796374,4.681582456,26.35564605,0.297770604,3.613580391,0.867073935,3.613580391,Fibroin1,Fibroin1,,724771,"Apis mellifera silk fibroin 1 (Fibroin1), mRNA."
88,XM_394614.7,5.06217e-08,5.03123e-06,-2.972877969,0.545571018,14.469433,3.008578308,0.000134329,0.446337275,0.117739002,0.446337275,LOC411140,LOC411140,GB55701,411140,PREDICTED: Apis mellifera putative aldehyde dehydrogenase family 7
89,NM_001040236.1,5.26064e-08,5.16547e-06,-5.185582862,0.952834852,5.548132717,9.156553993,0.22347967,1.138361713,0.578255125,1.138361713,AGLU2,AGLU2,,409889,"Apis mellifera alpha glucosidase 2 (AGLU2), mRNA."
90,XM_003251576.4,5.61776e-08,5.45485e-06,1.88698298,0.347474868,11.63280053,1.21309797,0.000965784,0.180142391,0.092121348,0.180142391,LOC725230,LOC725230,GB20104,725230,"PREDICTED: Apis mellifera histone H4 (LOC725230), mRNA."
91,XM_623244.6,5.85665e-08,5.62432e-06,1.503447717,0.277229121,9.785768201,0.685830611,0.003417682,0.006237443,0.111866296,0.111866296,LOC550854,LOC550854,GB55082,550854,"PREDICTED: Apis mellifera protein PBDC1 (LOC550854), mRNA."
92,XM_003251571.4,6.37056e-08,5.98627e-06,1.672269395,0.309217096,9.861319811,0.953683734,0.002979447,0.140443371,0.11008038,0.140443371,LOC726542,LOC726542,GB14620,726542,"PREDICTED: Apis mellifera histone H3 (LOC726542), mRNA."
93,XM_624730.6,6.30678e-08,5.98627e-06,2.072402504,0.383077512,8.441015748,1.464553698,0.009247151,0.21087542,0.169503167,0.21087542,LOC552354,LOC552354,GB40108,552354,"PREDICTED: Apis mellifera protein slowmo (LOC552354), mRNA."
94,XM_016911866.2,7.85737e-08,7.30485e-06,-5.765592477,1.073592458,4.362771307,11.3557379,0.323622085,1.405279065,1.008482999,1.405279065,LOC724429,LOC724429,GB50473,724429,PREDICTED: Apis mellifera synaptic vesicle glycoprotein 2C-like
95,NM_001136208.1,8.06713e-08,7.42091e-06,7.826619527,1.458660577,2.913309763,20.93002078,0.021890374,3.169645644,2.011213836,3.169645644,Fibroin3,Fibroin3,,100192201,"Apis mellifera silk fibroin 3 (Fibroin3), mRNA."
96,XM_394045.7,8.62597e-08,7.81522e-06,2.454440404,0.458472303,7.994900504,2.059519532,0.013538173,0.301757107,0.202395542,0.301757107,LOC410566,LOC410566,GB41670,410566,PREDICTED: Apis mellifera putative inorganic phosphate
97,XM_392824.6,8.67464e-08,7.81522e-06,2.644928562,0.494148083,6.800416398,2.149667046,0.033118801,0.030597346,0.333154692,0.333154692,LOC409306,LOC409306,GB49649,409306,PREDICTED: Apis mellifera 2-oxoisovalerate dehydrogenase subunit
98,XM_624409.6,1.06834e-07,9.52675e-06,-1.360818364,0.256048072,10.72402309,0.602288892,0.001258868,0.057167265,0.097082055,0.097082055,LOC552028,LOC552028,GB54678,552028,PREDICTED: Apis mellifera sodium-coupled neutral amino acid
99,XM_006569618.3,1.16641e-07,1.02962e-05,-1.784786784,0.336835962,8.518393844,0.973943998,0.005578199,0.01730285,0.164609499,0.164609499,LOC552039,LOC552039,GB44799,552039,"PREDICTED: Apis mellifera uncharacterized LOC552039 (LOC552039),"
100,XM_391917.7,1.21931e-07,1.05501e-05,1.361224416,0.257292251,10.67317404,0.61058216,0.001740809,0.066637424,0.097558145,0.097558145,LOC408368,LOC408368,GB45012,408368,"PREDICTED: Apis mellifera adenosylhomocysteinase (LOC408368), mRNA."
101,XM_625255.6,1.2101e-07,1.05501e-05,1.316860591,0.248841616,11.63435434,0.575429051,0.000765115,0.068225517,0.09211811,0.09211811,LOC551596,LOC551596,GB43434,551596,"PREDICTED: Apis mellifera uncharacterized LOC551596 (LOC551596),"
102,XM_391836.7,1.35834e-07,1.16378e-05,1.313531262,0.249209298,11.55859225,0.538853993,0.000861617,0.025694233,0.092296295,0.092296295,LOC408284,LOC408284,GB50929,408284,PREDICTED: Apis mellifera mitochondrial import receptor subunit
103,XM_006559805.3,1.43528e-07,1.21776e-05,1.817362552,0.345461909,8.668516485,1.13405471,0.007002279,0.172013616,0.155545071,0.172013616,LOC102654594,LOC102654594,,102654594,PREDICTED: Apis mellifera WD repeat-containing protein 18
104,XM_624248.6,1.78919e-07,1.50344e-05,4.123255801,0.789895148,5.566691861,5.849092735,0.295897026,0.640004491,0.573330775,0.640004491,LOC551863,LOC551863,GB51650,551863,PREDICTED: Apis mellifera putative inorganic phosphate
105,XM_397380.5,1.80806e-07,1.50482e-05,1.489571152,0.285464487,9.52812179,0.754112469,0.003374809,0.107207446,0.118860151,0.118860151,LOC413943,LOC413943,GB44941,413943,PREDICTED: Apis mellifera eukaryotic peptide chain release factor
106,XM_006558127.3,2.4221e-07,1.99686e-05,-2.473070756,0.478940627,6.911066628,1.926706657,0.025891519,0.08896219,0.318184668,0.318184668,LOC102656088,LOC102656088,,102656088,PREDICTED: Apis mellifera uncharacterized LOC102656088
107,XM_003250921.4,2.8164e-07,2.30024e-05,-1.482802119,0.288744908,9.427058252,0.750466467,0.003050583,0.110519205,0.12200985,0.12200985,LOC100578548,LOC100578548,GB52103,100578548,PREDICTED: Apis mellifera uncharacterized LOC100578548
108,XM_392000.7,2.99828e-07,2.4261e-05,-4.233745303,0.826329567,4.881966906,6.095230486,0.235355697,0.661957675,0.788875133,0.788875133,LOC408452,LOC408452,GB17793,408452,"PREDICTED: Apis mellifera cytochrome P450 9e2 (LOC408452), mRNA."
109,XM_393702.7,3.05189e-07,2.44356e-05,1.626373919,0.317637886,8.852772539,0.834624886,0.005931423,0.045440138,0.145409318,0.145409318,LOC410219,LOC410219,GB50998,410219,PREDICTED: Apis mellifera pre-mRNA 3'-end-processing factor FIP1
