target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,gene_name,gene_gi,gene_beebase,gene_id,product
XM_006565335.3,1.68E-09,1.20E-06,-0.816009818,0.135419629,10.00727401,0.231615486,0.001943716,0.053071711,0.021747304,0.053071711,LOC100577669,LOC100577669,GB41471,100577669,PREDICTED: Apis mellifera uncharacterized LOC100577669
XM_001122741.5,2.12E-09,1.42E-06,1.639868103,0.27385104,7.66772944,0.937939449,0.012057029,0.212926147,0.062035798,0.212926147,LOC727028,LOC727028,GB42800,727028,"PREDICTED: Apis mellifera uncharacterized LOC727028 (LOC727028),"
XM_026441673.1,4.65E-09,2.95E-06,-0.819546716,0.139875107,10.07940359,0.236538348,0.002047464,0.056647672,0.020734382,0.056647672,LOC724518,LOC724518,GB42423,724518,PREDICTED: Apis mellifera serine-rich adhesin for platelets
XM_001120116.5,5.22E-09,3.13E-06,0.915917758,0.156836346,7.668068198,0.270463441,0.011762719,0.034075464,0.062030199,0.062030199,LOC724312,LOC724312,GB43310,724312,"PREDICTED: Apis mellifera vanin-like protein 1 (LOC724312), mRNA."
XM_006570939.3,6.09E-09,3.47E-06,0.750955771,0.129160446,8.616943521,0.189448934,0.005457112,0.033756345,0.044590151,0.044590151,LOC100576976,LOC100576976,GB45464,100576976,PREDICTED: Apis mellifera putative leucine-rich repeat-containing
XR_409546.3,7.53E-09,4.09E-06,3.269778066,0.565847582,4.710326606,3.789077308,0.185048481,0.775501977,0.138169537,0.775501977,LOC102654581,LOC102654581,,102654581,PREDICTED: Apis mellifera uncharacterized LOC102654581
XM_016916700.2,1.40E-08,7.24E-06,1.416488422,0.249655407,5.250591249,0.682557646,0.070561133,0.078320442,0.116422333,0.116422333,LOC726459,LOC726459,GB50001,726459,"PREDICTED: Apis mellifera odorant receptor 13a (LOC726459),"
XM_006567943.3,1.84E-08,7.82E-06,-0.722403616,0.12839317,11.89303167,0.187285921,0.000570438,0.04888398,0.010351859,0.04888398,LOC410732,LOC410732,GB43004,410732,PREDICTED: Apis mellifera 3-phosphoinositide-dependent protein
XM_026440277.1,1.85E-08,7.82E-06,0.638112049,0.113434931,12.3869966,0.146144134,0.000381113,0.038221338,0.01041039,0.038221338,LOC552249,LOC552249,GB44223,552249,"PREDICTED: Apis mellifera lysosomal alpha-mannosidase (LOC552249),"
XM_624888.6,1.74E-08,7.82E-06,-1.957149514,0.347281076,6.448008555,1.373584276,0.037506327,0.324306111,0.082752214,0.324306111,LOC552512,LOC552512,GB44709,552512,"PREDICTED: Apis mellifera kinesin 3E (LOC552512), transcript"
XM_006570208.3,1.82E-08,7.82E-06,0.344793865,0.061263976,11.66542752,0.04051197,0.000646905,0.008251419,0.01061292,0.01061292,LOC102655090,LOC102655090,,102655090,PREDICTED: Apis mellifera uncharacterized LOC102655090
XM_006570547.3,1.76E-08,7.82E-06,0.824285646,0.146302062,12.33511381,0.243679026,0.000443658,0.063769223,0.010368077,0.063769223,LOC409708,LOC409708,GB53578,409708,"PREDICTED: Apis mellifera glucosylceramidase-like (LOC409708),"
XR_003306331.1,1.95E-08,7.95E-06,-1.232337119,0.219430874,6.205850711,0.545496507,0.02909433,0.115355395,0.087930544,0.115355395,LOC102655208,LOC102655208,,102655208,PREDICTED: Apis mellifera uncharacterized LOC102655208
XM_003251358.4,2.26E-08,8.84E-06,-0.720474547,0.128866229,8.624512128,0.171080614,0.005376764,0.027086839,0.044442751,0.044442751,LOC724633,LOC724633,,724633,"PREDICTED: Apis mellifera histone H2B (LOC724633), mRNA."
XM_026443797.1,2.33E-08,8.84E-06,0.566939946,0.101495261,9.597338871,0.11381453,0.003046805,0.025722908,0.027857059,0.027857059,LOC725069,LOC725069,GB49930,725069,"PREDICTED: Apis mellifera peptide transporter family 1 (LOC725069),"
XM_026442253.1,2.66E-08,9.77E-06,1.698188777,0.305284,13.5124598,1.040680454,0.000224533,0.27937043,0.012568021,0.27937043,LOC413627,LOC413627,GB41778,413627,"PREDICTED: Apis mellifera uncharacterized LOC413627 (LOC413627),"
NM_001011579.1,2.78E-08,9.91E-06,6.627759998,1.193190503,16.17848315,15.8629741,0.00018318,4.27092755,0.029786934,4.27092755,Mrjp1,Mrjp1,,406090,"Apis mellifera major royal jelly protein 1 (Mrjp1), mRNA."
XM_001120227.5,3.09E-08,1.07E-05,1.204491423,0.217553184,8.723551777,0.524752764,0.004879775,0.13710839,0.042525925,0.13710839,LOC724393,LOC724393,GB40438,724393,"PREDICTED: Apis mellifera uncharacterized LOC724393 (LOC724393),"
XM_392082.7,3.56E-08,1.20E-05,-1.416643021,0.257048325,7.925514581,0.727531599,0.010670227,0.187551297,0.057674449,0.187551297,LOC408536,LOC408536,GB50505,408536,PREDICTED: Apis mellifera angiotensin-converting enzyme
XM_001121507.5,4.03E-08,1.31E-05,0.976941501,0.177968201,6.877965205,0.33487426,0.020123496,0.061913781,0.074894546,0.074894546,LOC725690,LOC725690,GB40707,725690,"PREDICTED: Apis mellifera tetraspanin-3 (LOC725690), mRNA."
NM_001012963.1,4.58E-08,1.43E-05,-1.323193718,0.24203006,9.88526979,0.63726194,0.002203405,0.173532245,0.023547586,0.173532245,Crz,Crz,,503862,"Apis mellifera corazonin (Crz), mRNA."
XM_001120510.5,4.63E-08,1.43E-05,-2.228371614,0.407768072,8.968976727,1.807742197,0.006181765,0.492642637,0.037927859,0.492642637,LOC724616,LOC724616,GB42889,724616,"PREDICTED: Apis mellifera neprilysin-1 (LOC724616), transcript"
XM_001122237.5,4.96E-08,1.49E-05,0.646524891,0.118568371,8.998059225,0.151707184,0.004773064,0.036706508,0.037402311,0.037402311,LOC726505,LOC726505,GB41033,726505,"PREDICTED: Apis mellifera uncharacterized LOC726505 (LOC726505),"
XM_001122096.5,7.63E-08,2.23E-05,0.909888852,0.169261214,7.172962626,0.291857524,0.015911358,0.056762601,0.070036718,0.070036718,LOC726353,LOC726353,GB50228,726353,"PREDICTED: Apis mellifera uncharacterized LOC726353 (LOC726353),"
XM_392583.7,8.29E-08,2.32E-05,0.622982162,0.116213044,9.041458238,0.139364503,0.003889313,0.032979608,0.036627102,0.036627102,LOC409057,LOC409057,GB54605,409057,"PREDICTED: Apis mellifera uncharacterized LOC409057 (LOC409057),"
XM_392781.7,8.33E-08,2.32E-05,0.582715977,0.108719665,11.6592462,0.124842972,0.000703456,0.034756441,0.010622424,0.034756441,LOC409260,LOC409260,GB44980,409260,PREDICTED: Apis mellifera short-chain dehydrogenase/reductase
XM_001120555.5,9.77E-08,2.65E-05,-2.496150546,0.468245569,3.900496741,2.297265457,0.319284096,0.338477642,0.180577213,0.338477642,LOC724664,LOC724664,GB42599,724664,PREDICTED: Apis mellifera A-agglutinin anchorage subunit
XM_026443135.1,1.08E-07,2.86E-05,0.31762448,0.05978513,12.22339951,0.036162497,0.000419386,0.009093768,0.010303399,0.010303399,LOC413792,LOC413792,GB50924,413792,"PREDICTED: Apis mellifera nucleoprotein TPR (LOC413792), transcript"
XM_392277.7,1.14E-07,2.95E-05,0.344244532,0.064911187,11.9132858,0.043810615,0.00057389,0.012066497,0.010337414,0.012066497,LOC408742,LOC408742,GB53695,408742,PREDICTED: Apis mellifera fatty-acid amide hydrolase 2-B
XM_396815.6,1.21E-07,3.06E-05,0.418412835,0.079060425,13.35998526,0.06479313,0.000216791,0.018534861,0.012162776,0.018534861,LOC413370,LOC413370,GB44412,413370,"PREDICTED: Apis mellifera hemicentin-2 (LOC413370), mRNA."
XM_006567878.3,1.31E-07,3.25E-05,0.508494246,0.096350597,9.771554281,0.091557704,0.002576091,0.020567464,0.025274221,0.025274221,LOC100576826,LOC100576826,GB44424,100576826,PREDICTED: Apis mellifera LHFPL tetraspan subfamily member 5
NM_001098228.1,1.39E-07,3.38E-05,3.569219099,0.677790123,6.776898822,4.727268952,0.041906496,1.336291858,0.076632293,1.336291858,Y-e3,Y-e3,,413894,"Apis mellifera yellow-e3 (Y-e3), mRNA."
XM_393632.7,1.51E-07,3.59E-05,2.271492792,0.432575925,8.460855637,1.917517857,0.0092936,0.552072192,0.047644472,0.552072192,LOC410149,LOC410149,GB51783,410149,"PREDICTED: Apis mellifera carboxypeptidase Q (LOC410149),"
NM_001242994.1,2.08E-07,4.56E-05,2.988911153,0.575651587,5.942043347,3.340182921,0.066803641,0.927320608,0.094526661,0.927320608,Gr10,Gr10,GB44014,725297,"Apis mellifera gustatory receptor 10 (Gr10), mRNA."
XM_006570116.3,2.03E-07,4.56E-05,-0.929616845,0.178882448,6.785064439,0.264213119,0.019506848,0.011871339,0.076489942,0.076489942,LOC726920,LOC726920,GB46518,726920,"PREDICTED: Apis mellifera uncharacterized LOC726920 (LOC726920),"
XM_006568544.3,1.96E-07,4.56E-05,1.396430862,0.268407896,10.00412172,0.728303764,0.002431471,0.213696925,0.021792594,0.213696925,LOC410730,LOC410730,GB45851,410730,PREDICTED: Apis mellifera dnaJ homolog subfamily C member 22
XM_001120250.5,2.04E-07,4.56E-05,1.174762982,0.22610651,11.58788115,0.51581171,0.000872584,0.152499877,0.010742141,0.152499877,LOC725646,LOC725646,GB42985,725646,"PREDICTED: Apis mellifera N-acetylneuraminate lyase (LOC725646),"
XR_408976.3,2.33E-07,5.02E-05,0.831236068,0.160760041,8.080650731,0.258924903,0.008106031,0.069425341,0.054921008,0.069425341,LOC102654477,LOC102654477,,102654477,PREDICTED: Apis mellifera uncharacterized LOC102654477
XM_001121093.5,2.74E-07,5.78E-05,0.79937321,0.155502132,8.246008143,0.240219998,0.008337952,0.064204787,0.051820522,0.064204787,LOC725217,LOC725217,GB41418,725217,PREDICTED: Apis mellifera uncharacterized protein PFB0145c
XM_001121271.5,3.59E-07,7.44E-05,1.18133112,0.232108477,7.058506986,0.527532727,0.017268035,0.144355,0.07189414,0.144355,LOC725420,LOC725420,GB51834,725420,PREDICTED: Apis mellifera sodium-dependent nutrient amino acid
XM_026445124.1,3.68E-07,7.49E-05,3.804646288,0.74822682,2.684950863,5.474663759,0.369597894,1.309932228,0.274627135,1.309932228,LOC102655131,LOC102655131,,102655131,PREDICTED: Apis mellifera zinc finger protein 300-like
XM_624889.6,4.48E-07,8.96E-05,-0.706407658,0.139956998,8.228768722,0.173061436,0.006613784,0.034050263,0.052150101,0.052150101,LOC552513,LOC552513,GB44550,552513,PREDICTED: Apis mellifera neural cell adhesion molecule 2
XM_026446211.1,4.56E-07,8.96E-05,-0.662638174,0.131372191,11.56798984,0.166820693,0.000665876,0.051110082,0.010778879,0.051110082,LOC412948,LOC412948,GB47503,412948,PREDICTED: Apis mellifera delta-1-pyrroline-5-carboxylate synthase
XM_026441347.1,5.30E-07,0.000102355,1.121223219,0.22356346,11.38487268,0.479167558,0.000875374,0.149066488,0.011192077,0.149066488,LOC724480,LOC724480,GB45340,724480,PREDICTED: Apis mellifera asparagine synthetase
NM_001011580.1,5.60E-07,0.000106442,6.426698659,1.284192759,14.44764424,15.76199075,0.000574268,4.946878862,0.016040387,4.946878862,Mrjp2,Mrjp2,,406091,"Apis mellifera major royal jelly protein 2 (Mrjp2), mRNA."
NM_001242432.1,6.51E-07,0.000120309,-1.231927891,0.247605926,6.74651983,0.581109074,0.024645983,0.1592801,0.077165209,0.1592801,Tg,Tg,,411132,"Apis mellifera transglutaminase (Tg), mRNA."
XM_006562405.3,6.54E-07,0.000120309,0.468331922,0.094147048,10.55163419,0.083992215,0.00137799,0.02521301,0.015716074,0.02521301,LOC411796,LOC411796,GB54056,411796,PREDICTED: Apis mellifera serine hydroxymethyltransferase
XM_006569896.3,6.98E-07,0.000126272,6.108580428,1.231075568,7.650659854,14.31006147,0.06215971,4.484481453,0.062317517,4.484481453,LOC725215,LOC725215,GB41326,725215,PREDICTED: Apis mellifera venom acid phosphatase Acph-1
XM_623218.6,8.19E-07,0.000145846,0.916257576,0.185821305,7.437087203,0.323133687,0.013640329,0.089948343,0.065792058,0.089948343,LOC550828,LOC550828,GB54404,550828,PREDICTED: Apis mellifera elongation of very long chain fatty acids
XM_026444351.1,1.03E-06,0.000180427,0.56356992,0.115342051,12.05471042,0.122904257,0.00053019,0.039381176,0.010280137,0.039381176,LOC412399,LOC412399,GB48846,412399,PREDICTED: Apis mellifera organic cation transporter protein
XM_006568959.2,1.12E-06,0.000193669,-0.548969024,0.112745743,9.173160125,0.101157456,0.003788196,0.017074909,0.034346612,0.034346612,LOC552073,LOC552073,GB55388,552073,"PREDICTED: Apis mellifera arylsulfatase B (LOC552073), mRNA."
XM_026444622.1,1.23E-06,0.000209927,0.620319057,0.127896849,11.26457891,0.149555938,0.000848108,0.048224704,0.011544923,0.048224704,LOC551053,LOC551053,GB54756,551053,PREDICTED: Apis mellifera facilitated trehalose transporter Tret1
XM_026442715.1,1.27E-06,0.000213649,0.7219924,0.149057326,8.237420809,0.202760152,0.007789207,0.058865053,0.051984842,0.058865053,LOC100578323,LOC100578323,GB42853,100578323,PREDICTED: Apis mellifera probable phospholipid-transporting ATPase
XM_392786.7,1.32E-06,0.000214679,0.518308981,0.107154902,10.89928141,0.104581618,0.001197592,0.033248927,0.013240987,0.033248927,LOC409265,LOC409265,GB43171,409265,PREDICTED: Apis mellifera
XM_016913279.2,1.32E-06,0.000214679,1.068045,0.220787222,7.100424273,0.444051844,0.013995124,0.132245868,0.07121103,0.132245868,LOC100578995,LOC100578995,GB43311,100578995,"PREDICTED: Apis mellifera vanin-like protein 1 (LOC100578995),"
XM_394229.6,1.39E-06,0.000223594,-0.347031107,0.071907393,10.73382802,0.044380704,0.001160774,0.011528824,0.014351246,0.014351246,LOC410753,LOC410753,GB54865,410753,"PREDICTED: Apis mellifera TATA-box-binding protein (LOC410753),"
XR_003305405.1,1.56E-06,0.000246721,-0.47609009,0.09911036,10.36619148,0.088606475,0.001578522,0.027890068,0.017303377,0.027890068,LOC102655526,LOC102655526,,102655526,PREDICTED: Apis mellifera uncharacterized LOC102655526
XM_016911242.2,1.61E-06,0.000251352,0.346596294,0.072250466,11.92392584,0.04699917,0.0005372,0.01512319,0.010330475,0.01512319,LOC100577574,LOC100577574,GB53811,100577574,PREDICTED: Apis mellifera leucine-rich repeat-containing protein 4C
XM_006562459.3,1.68E-06,0.000257428,-0.564170696,0.117823442,11.20404389,0.124666966,0.000943583,0.040703508,0.011749859,0.040703508,LOC551924,LOC551924,GB46013,551924,"PREDICTED: Apis mellifera mucin-1 (LOC551924), transcript variant"
XM_026442720.1,1.69E-06,0.000257428,0.738526589,0.154279569,8.009626373,0.213666376,0.008478156,0.062928401,0.05619965,0.062928401,LOC413768,LOC413768,GB42632,413768,"PREDICTED: Apis mellifera 2-oxoglutarate dehydrogenase,"
XM_026442143.1,1.81E-06,0.000271762,-0.921869552,0.193127178,9.127414331,0.333497602,0.004585521,0.1073088,0.035125873,0.1073088,LOC100577028,LOC100577028,,100577028,PREDICTED: Apis mellifera insulin-like growth factor I
XM_623750.6,1.95E-06,0.000288084,0.623413833,0.130997148,10.8706804,0.152794728,0.001174872,0.050305886,0.013420609,0.050305886,LOC551353,LOC551353,GB46978,551353,PREDICTED: Apis mellifera translocon-associated protein subunit
XM_016917117.2,2.06E-06,0.000300782,1.410230641,0.297036766,4.836841889,0.783016054,0.092868874,0.171823648,0.132660227,0.171823648,LOC102654520,LOC102654520,,102654520,PREDICTED: Apis mellifera putative uncharacterized protein
XM_397347.6,2.22E-06,0.000319939,-3.371557528,0.712415507,3.161318143,4.484388739,0.348319293,1.17428827,0.232566798,1.17428827,LOC413908,LOC413908,GB49888,413908,"PREDICTED: Apis mellifera cytochrome P450 6A1 (LOC413908),"
XM_026439792.1,2.40E-06,0.00033388,0.364353588,0.077254196,11.86729579,0.052482449,0.000547563,0.017357069,0.010372583,0.017357069,LOC414042,LOC414042,GB48928,414042,PREDICTED: Apis mellifera thioredoxin-related transmembrane protein
XM_397038.7,2.35E-06,0.00033388,-0.968257436,0.205115324,9.849966532,0.37043057,0.002507911,0.123708978,0.024081522,0.123708978,LOC413596,LOC413596,GB53865,413596,PREDICTED: Apis mellifera receptor-type guanylate cyclase gcy-4
XM_394018.7,2.43E-06,0.00033388,-0.439916599,0.093324053,10.02915319,0.076532837,0.002054818,0.024073319,0.021435181,0.024073319,LOC410539,LOC410539,GB52724,410539,"PREDICTED: Apis mellifera protein 5NUC (LOC410539), mRNA."
XM_006558090.3,2.38E-06,0.00033388,2.892486626,0.613051491,6.853340717,3.306763688,0.032763771,1.094732622,0.07531336,1.094732622,LOC411186,LOC411186,GB49708,411186,PREDICTED: Apis mellifera synaptic vesicle glycoprotein 2C
XM_623440.5,2.48E-06,0.000337065,2.641263864,0.56083905,8.179862706,2.760457963,0.012572056,0.931049263,0.05307802,0.931049263,LOC551044,LOC551044,GB44548,551044,"PREDICTED: Apis mellifera glucose dehydrogenase [FAD, quinone]"
NM_001011601.1,2.86E-06,0.000383852,6.682252794,1.427680223,14.64299557,17.73687562,0.000634745,6.114177716,0.017027909,6.114177716,Mrjp3,Mrjp3,,406121,"Apis mellifera major royal jelly protein 3 (Mrjp3), mRNA."
XM_006562851.3,2.95E-06,0.000391145,-1.030161973,0.220391459,8.800567248,0.421897539,0.005515837,0.140201348,0.041055668,0.140201348,LOC410236,LOC410236,GB48425,410236,"PREDICTED: Apis mellifera hillarin (LOC410236), transcript variant"
XM_001121453.5,3.26E-06,0.000426668,-0.422240484,0.090728463,9.952004384,0.070396157,0.002143064,0.021806601,0.022551898,0.022551898,LOC725625,LOC725625,GB50734,725625,"PREDICTED: Apis mellifera uncharacterized LOC725625 (LOC725625),"
XR_410888.3,3.29E-06,0.000426668,-0.857571292,0.184359483,9.24082594,0.293267103,0.00362447,0.098340787,0.033220573,0.098340787,LOC725381,LOC725381,,725381,"PREDICTED: Apis mellifera uncharacterized LOC725381 (LOC725381),"
XM_624819.6,3.36E-06,0.000430817,-0.431288562,0.092804143,10.7330432,0.074218885,0.00135882,0.024479007,0.014356876,0.024479007,LOC552446,LOC552446,GB43208,552446,"PREDICTED: Apis mellifera collagen alpha-1(I) chain (LOC552446),"
XM_006563506.2,3.50E-06,0.000435423,-0.525812212,0.113349793,12.79022663,0.110443701,0.000309083,0.038235444,0.010960693,0.038235444,LOC413959,LOC413959,GB50195,413959,PREDICTED: Apis mellifera multidrug resistance-associated protein 4
XM_001121565.5,3.49E-06,0.000435423,1.403170805,0.302446698,10.28059172,0.786444098,0.001892896,0.272529119,0.018211307,0.272529119,LOC725756,LOC725756,GB45955,725756,"PREDICTED: Apis mellifera beta-galactosidase (LOC725756), mRNA."
XM_001120871.5,3.55E-06,0.000435423,-0.800965911,0.172770171,12.13389323,0.256375012,0.000479173,0.089069423,0.010279338,0.089069423,LOC724971,LOC724971,GB50482,724971,"PREDICTED: Apis mellifera uncharacterized LOC724971 (LOC724971),"
XM_392370.6,3.51E-06,0.000435423,-0.330973083,0.071357493,11.86667872,0.043762391,0.000517674,0.014758002,0.010373113,0.014758002,LOC408839,LOC408839,GB44661,408839,"PREDICTED: Apis mellifera uncharacterized LOC408839 (LOC408839),"
XM_003250245.4,3.70E-06,0.000449005,0.526630227,0.113805768,10.29254508,0.110960979,0.001614614,0.037240644,0.018078038,0.037240644,LOC100577320,LOC100577320,GB50241,100577320,PREDICTED: Apis mellifera uncharacterized LOC100577320
XM_016912856.2,3.77E-06,0.000452786,-0.807045,0.174552194,8.122160487,0.260728995,0.008186384,0.083219021,0.054157125,0.083219021,LOC411159,LOC411159,GB52955,411159,"PREDICTED: Apis mellifera uncharacterized LOC411159 (LOC411159),"
XM_625122.5,4.11E-06,0.000487774,0.389205227,0.08450178,12.57716638,0.06078715,0.000346887,0.021074765,0.010626307,0.021074765,LOC552747,LOC552747,GB55432,552747,"PREDICTED: Apis mellifera glucosidase 2 subunit beta (LOC552747),"
XM_006561013.3,4.30E-06,0.000505877,0.714980827,0.155561344,7.727548321,0.177253879,0.01155557,0.030064422,0.061042425,0.061042425,LOC410623,LOC410623,GB50521,410623,"PREDICTED: Apis mellifera ionotropic receptor 93a (LOC410623),"
XM_001121596.5,4.42E-06,0.000514491,0.31314714,0.068216752,10.95441607,0.037861718,0.001048911,0.011180639,0.012911665,0.012911665,LOC725789,LOC725789,GB50731,725789,PREDICTED: Apis mellifera ragulator complex protein LAMTOR1
XM_016912741.2,4.56E-06,0.000524773,0.280002502,0.061079636,12.72321396,0.028687222,0.00034371,0.007691814,0.010848456,0.010848456,LOC411171,LOC411171,GB41442,411171,"PREDICTED: Apis mellifera putative protein FAM10A4 (LOC411171),"
XM_001120821.5,4.66E-06,0.000531448,0.712296284,0.155540992,7.761909382,0.204353454,0.010686993,0.061892008,0.060467169,0.061892008,LOC724921,LOC724921,GB53655,724921,"PREDICTED: Apis mellifera uncharacterized LOC724921 (LOC724921),"
XM_003251245.4,4.82E-06,0.000544211,-0.78682605,0.172080656,13.39390147,0.249603478,0.000200345,0.088634911,0.012249608,0.088634911,LOC410820,LOC410820,GB55400,410820,"PREDICTED: Apis mellifera proton channel OtopLc (LOC410820),"
XR_001703607.2,5.20E-06,0.000580913,-0.969465626,0.212757641,6.431520209,0.379778655,0.025838594,0.109958847,0.083083479,0.109958847,LOC102655611,LOC102655611,,102655611,PREDICTED: Apis mellifera uncharacterized LOC102655611
XR_003305816.1,5.35E-06,0.000592547,2.076827419,0.456400886,5.874073174,1.744426314,0.060826993,0.564078314,0.096421276,0.564078314,LOC107965318,LOC107965318,,107965318,PREDICTED: Apis mellifera uncharacterized LOC107965318
XM_026443098.1,5.46E-06,0.000598599,0.32784905,0.07211381,14.01224703,0.043497004,0.000106223,0.015494981,0.014190888,0.015494981,LOC551435,LOC551435,GB47336,551435,"PREDICTED: Apis mellifera protein disulfide-isomerase (LOC551435),"
XM_001122336.5,5.78E-06,0.000627418,-0.564445383,0.12448232,9.994944585,0.129151928,0.002089663,0.044397881,0.021924885,0.044397881,LOC726611,LOC726611,GB50880,726611,"PREDICTED: Apis mellifera uncharacterized LOC726611 (LOC726611),"
XM_624202.5,6.02E-06,0.000647883,0.296755071,0.065573149,11.75847657,0.035744168,0.000604321,0.012295192,0.010485696,0.012295192,LOC551817,LOC551817,GB45376,551817,PREDICTED: Apis mellifera putative peptidyl-prolyl cis-trans
XM_026440091.1,6.23E-06,0.000656663,0.560234595,0.123987389,8.986030743,0.127524962,0.00424601,0.041872608,0.037619102,0.041872608,LOC100576765,LOC100576765,GB53151,100576765,PREDICTED: Apis mellifera uncharacterized LOC100576765
XM_006567774.3,6.28E-06,0.000656663,-0.556690019,0.123248726,11.1278884,0.125947162,0.000937956,0.044632789,0.012042165,0.044632789,LOC408844,LOC408844,GB44634,408844,PREDICTED: Apis mellifera dual specificity protein phosphatase 10
XM_006564609.3,6.18E-06,0.000656663,0.328204268,0.072610333,12.57458053,0.04375654,0.000334698,0.015482083,0.010622769,0.015482083,LOC725571,LOC725571,GB41886,725571,PREDICTED: Apis mellifera protein transport protein Sec61 subunit
XM_624671.6,6.40E-06,0.000663088,0.3767323,0.083480785,11.21817478,0.057713902,0.000873936,0.020033188,0.01170029,0.020033188,LOC552295,LOC552295,GB45210,552295,PREDICTED: Apis mellifera translocon-associated protein subunit
XM_394733.7,6.51E-06,0.000669154,0.394852173,0.087570728,11.81129755,0.06343488,0.000618119,0.022387778,0.01042614,0.022387778,LOC411260,LOC411260,GB54500,411260,"PREDICTED: Apis mellifera ras-related protein Rab-27A (LOC411260),"
XM_006565456.3,6.88E-06,0.000700138,-0.957162556,0.212824284,8.009701661,0.373391431,0.008459575,0.127422952,0.056198315,0.127422952,LOC725668,LOC725668,GB42469,725668,"PREDICTED: Apis mellifera phospholipase B1,"
XM_395013.7,7.02E-06,0.000708473,0.373304105,0.083085313,12.50832749,0.056832995,0.000375047,0.02033446,0.010537608,0.02033446,LOC411542,LOC411542,GB53389,411542,PREDICTED: Apis mellifera signal recognition particle receptor
